retention,area
11.426,215952
11.433,220122
11.44,205263
11.448,212789
11.455,211060
11.462,210698
11.47,227940
11.477,245922
11.484,304147
11.492,381635
11.499,420034
11.506,394563
11.514,346933
11.521,302758
11.528,287002
11.536,258075
11.543,283684
11.55,287781
11.558,326535
11.565,328624
11.572,313990
11.579,332349
11.587,384003
11.594,535851
11.601,780242
11.609,888299
11.616,795452
11.623,642757
11.631,562265
11.638,460190
11.645,366815
11.653,308147
11.66,241291
11.667,244075
11.675,235014
11.682,238840
11.689,227721
11.697,251877
11.704,253371
11.711,271223
11.719,290571
11.726,291306
11.733,317220
11.741,290135
11.748,298181
11.755,279043
11.763,288396
11.77,261843
11.777,273052
11.784,232738
11.792,253660
11.799,230864
11.806,228761
11.814,223007
11.821,211365
11.828,197939
11.836,214607
11.843,217775
11.85,220460
11.858,205558
11.865,216594
11.872,228203
11.88,213676
11.887,211692
11.894,207661
11.902,234514
11.909,246270
11.916,254451
11.924,236242
11.931,255835
11.938,257556
11.946,249375
11.953,237962
11.96,241557
11.968,237151
11.975,233292
11.982,229728
11.99,223181
11.997,231456
12.004,232978
12.011,236885
12.019,250133
12.026,228943
12.033,238700
12.041,229926
12.048,230066
12.055,222911
12.063,230876
12.07,241398
12.077,264040
12.085,267918
12.092,296452
12.099,271673
12.107,237985
12.114,224422
12.121,217701
12.129,224733
12.136,211766
12.143,204167
12.151,216461
12.158,203630
12.165,197815
12.173,198252
12.18,211915
12.187,186674
12.195,207052
12.202,210600
12.209,235599
12.216,227175
12.224,241553
12.231,251771
12.238,279902
12.246,319054
12.253,328924
12.26,315169
12.268,320382
12.275,343798
12.282,343331
12.29,339825
12.297,316929
12.304,270638
12.312,244490
12.319,236605
12.326,229593
12.334,241246
12.341,239713
12.348,247524
12.356,243852
12.363,250841
12.37,237433
12.378,224895
12.385,250125
12.392,259663
12.4,269592
12.407,319841
12.414,369758
12.421,409854
12.429,397515
12.436,364233
12.443,298144
12.451,252167
12.458,217450
12.465,208169
12.473,226432
12.48,227667
12.487,231202
12.495,226135
12.502,240352
12.509,283905
12.517,321604
12.524,359429
12.531,359231
12.539,351614
12.546,301589
12.553,287939
12.561,296133
12.568,296852
12.575,309007
12.583,296884
12.59,293611
12.597,313612
12.605,354057
12.612,398464
12.619,523585
12.627,579855
12.634,568827
12.641,517141
12.648,460392
12.656,387387
12.663,358199
12.67,335985
12.678,286044
12.685,278970
12.692,276607
12.7,259613
12.707,251928
12.714,231173
12.722,222258
12.729,207704
12.736,205815
12.744,215452
12.751,212187
12.758,228513
12.766,210490
12.773,213327
12.78,225040
12.788,232753
12.795,208290
12.802,211799
12.81,208084
12.817,208523
12.824,210789
12.832,220455
12.839,224766
12.846,243073
12.853,248264
12.861,240009
12.868,241251
12.875,243440
12.883,256524
12.89,236238
12.897,251118
12.905,224519
12.912,232340
12.919,219345
12.927,227369
